emoji,en,clean_en,zh-TW,zh
👉🏼,:backhand_index_pointing_right_medium-light_skin_tone:,backhand index pointing right medium-light skin tone,反手食指指向右 中淺膚色,:反手食指向右指_中等浅肤色:
👉🏽,:backhand_index_pointing_right_medium_skin_tone:,backhand index pointing right medium skin tone,反手指數指向右 中等膚色,:反手食指向右指_中等肤色:
👆,:backhand_index_pointing_up:,backhand index pointing up,反手指數朝上,:反手食指向上指:
👆🏿,:backhand_index_pointing_up_dark_skin_tone:,backhand index pointing up dark skin tone,反手食指朝上 深色膚色,:反手食指向上指_较深肤色:
👆🏻,:backhand_index_pointing_up_light_skin_tone:,backhand index pointing up light skin tone,反手指數朝上淺膚色,:反手食指向上指_较浅肤色:
👆🏼,:backhand_index_pointing_up_medium-light_skin_tone:,backhand index pointing up medium-light skin tone,反手指數朝上 中淺膚色,:反手食指向上指_中等浅肤色:
🎒,:backpack:,backpack,背包,:书包:
🥓,:bacon:,bacon,熏肉,:培根:
🏸,:badminton:,badminton,羽毛球,:羽毛球:
🥯,:bagel:,bagel,百吉餅,:面包圈:
🥖,:baguette_bread:,baguette bread,長棍麵包,:法式长棍面包:
⚖️,:balance_scale:,balance scale,天平,:天平:
🩰,:ballet_shoes:,ballet shoes,芭蕾舞鞋,:芭蕾舞鞋:
🎈,:balloon:,balloon,氣球,:气球:
🍌,:banana:,banana,香蕉,:香蕉:
💈,:barber_pole:,barber pole,理髮店招牌,:理发店:
⚾,:baseball:,baseball,棒球,:棒球:
🧺,:basket:,basket,籃子,:筐:
🏀,:basketball:,basketball,籃球,:篮球:
🛁,:bathtub:,bathtub,浴缸,:浴缸:
🔋,:battery:,battery,電池,:电池:
🏖️,:beach_with_umbrella:,beach with umbrella,有傘的海灘,:沙滩伞:
🏖,:beach_with_umbrella:,beach with umbrella,有傘的海灘,:沙滩伞:
😁,:beaming_face_with_smiling_eyes:,beaming face with smiling eyes,笑眼盈盈,:嘻嘻:
🐻,:bear:,bear,熊,:熊:
💓,:beating_heart:,beating heart,跳動的心,:心跳:
🛏️,:bed:,bed,床,:床:
🛏,:bed:,bed,床,:床:
🍺,:beer_mug:,beer mug,啤酒杯,:啤酒:
🔔,:bell:,bell,鐘,:铃铛:
🛎️,:bellhop_bell:,bellhop bell,侍者鈴,:服务铃:
🍱,:bento_box:,bento box,便當盒,:盒饭:
🧃,:beverage_box:,beverage box,飲料盒,:饮料盒:
👙,:bikini:,bikini,比基尼,:比基尼:
🧢,:billed_cap:,billed cap,嘴帽,:鸭舌帽:
🐦,:bird:,bird,鳥,:鸟:
🎂,:birthday_cake:,birthday cake,生日蛋糕,:生日蛋糕:
🐈‍⬛,:black_cat:,black cat,黑貓,:黑猫:
⚫,:black_circle:,black circle,黑圈,:黑色圆:
🖤,:black_heart:,black heart,黑心,:黑心:
✒,:black_nib:,black nib,黑色筆尖,:钢笔尖:
▪️,:black_small_square:,black small square,黑色小方塊,:黑色小方块:
▪,:black_small_square:,black small square,黑色小方塊,:黑色小方块:
🌼,:blossom:,blossom,開花,:开花:
🐡,:blowfish:,blowfish,河豚,:河豚:
🔵,:blue_circle:,blue circle,藍色圓圈,:蓝色圆:
💙,:blue_heart:,blue heart,藍色的心,:蓝心:
🫐,:blueberries:,blueberries,藍莓,:蓝莓:
🐗,:boar:,boar,公豬,:野猪:
💣,:bomb:,bomb,炸彈,:炸弹:
🍾,:bottle_with_popping_cork:,bottle with popping cork,爆裂瓶,:开香槟:
💐,:bouquet:,bouquet,花束,:花束:
🥣,:bowl_with_spoon:,bowl with spoon,帶勺子的碗,:碗勺:
🥊,:boxing_glove:,boxing glove,拳擊手套,:拳击手套:
👦,:boy:,boy,男生,:男孩:
👦🏿,:boy_dark_skin_tone:,boy dark skin tone,男孩深色膚色,:男孩_较深肤色:
👦🏻,:boy_light_skin_tone:,boy light skin tone,男孩淺膚色,:男孩_较浅肤色:
👦🏾,:boy_medium-dark_skin_tone:,boy medium-dark skin tone,男孩中等-深膚色,:男孩_中等深肤色:
👦🏽,:boy_medium_skin_tone:,boy medium skin tone,男孩中等膚色,:男孩_中等肤色:
🧠,:brain:,brain,腦,:脑:
🍞,:bread:,bread,麵包,:面包:
🤱,:breast-feeding:,breast-feeding,哺乳,:母乳喂养:
🔆,:bright_button:,bright button,明亮的按鈕,:高亮度按钮:
💔,:broken_heart:,broken heart,破碎的心,:心碎:
🤎,:brown_heart:,brown heart,棕色的心,:棕心:
🧋,:bubble_tea:,bubble tea,珍珠奶茶,:珍珠奶茶:
🫧,:bubbles:,bubbles,氣泡,:气泡:
🐛,:bug:,bug,漏洞,:毛毛虫:
🚅,:bullet_train:,bullet train,子彈頭列車,:子弹头高速列车:
🌯,:burrito:,burrito,捲餅,:墨西哥玉米煎饼:
🚌,:bus:,bus,公共汽車,:公交车:
🦋,:butterfly:,butterfly,蝴蝶,:蝴蝶:
🌵,:cactus:,cactus,仙人掌,:仙人掌:
📅,:calendar:,calendar,日曆,:日历:
🤙,:call_me_hand:,call me hand,叫我手,:给我打电话:
🤙🏻,:call_me_hand_light_skin_tone:,call me hand light skin tone,叫我手淺膚色,:给我打电话_较浅肤色:
🤙🏼,:call_me_hand_medium-light_skin_tone:,call me hand medium-light skin tone,叫我的手 中淺膚色,:给我打电话_中等浅肤色:
🤙🏽,:call_me_hand_medium_skin_tone:,call me hand medium skin tone,叫我手中等膚色,:给我打电话_中等肤色:
📷,:camera:,camera,相機,:相机:
📸,:camera_with_flash:,camera with flash,帶閃光燈的相機,:开闪光灯的相机:
🏕️,:camping:,camping,野營,:露营:
🏕,:camping:,camping,野營,:露营:
🕯️,:candle:,candle,蠟燭,:蜡烛:
🕯,:candle:,candle,蠟燭,:蜡烛:
🍬,:candy:,candy,糖果,:糖:
🛶,:canoe:,canoe,獨木舟,:独木舟:
🎠,:carousel_horse:,carousel horse,旋轉木馬,:旋转木马:
🥕,:carrot:,carrot,胡蘿蔔,:胡萝卜:
🏰,:castle:,castle,城堡,:欧洲城堡:
🐈,:cat:,cat,貓,:猫:
🐱,:cat_face:,cat face,貓臉,:猫脸:
😹,:cat_with_tears_of_joy:,cat with tears of joy,貓流著喜悅的淚水,:笑出眼泪的猫:
😼,:cat_with_wry_smile:,cat with wry smile,苦笑的貓,:奸笑的猫:
📉,:chart_decreasing:,chart decreasing,圖表減少,:趋势向下的图表:
📈,:chart_increasing:,chart increasing,圖表增加,:趋势向上的图表:
☑️,:check_box_with_check:,check box with check,複選框與檢查,:勾选框:
☑,:check_box_with_check:,check box with check,複選框與檢查,:勾选框:
✔️,:check_mark:,check mark,複選標記,:勾号:
✔,:check_mark:,check mark,複選標記,:勾号:
✅,:check_mark_button:,check mark button,複選標記按鈕,:勾号按钮:
🧀,:cheese_wedge:,cheese wedge,奶酪角,:芝士:
🏁,:chequered_flag:,chequered flag,方格旗,:终点旗:
🍒,:cherries:,cherries,櫻桃,:樱桃:
🌸,:cherry_blossom:,cherry blossom,櫻花,:樱花:
♟️,:chess_pawn:,chess pawn,棋子,:兵:
♟,:chess_pawn:,chess pawn,棋子,:兵:
🌰,:chestnut:,chestnut,板栗,:栗子:
🐔,:chicken:,chicken,雞,:鸡:
🐿️,:chipmunk:,chipmunk,花栗鼠,:松鼠:
🐿,:chipmunk:,chipmunk,花栗鼠,:松鼠:
🍫,:chocolate_bar:,chocolate bar,巧克力吧,:巧克力:
🥢,:chopsticks:,chopsticks,筷子,:筷子:
🚬,:cigarette:,cigarette,香煙,:香烟:
🎬,:clapper_board:,clapper board,拍板,:场记板:
👏,:clapping_hands:,clapping hands,拍手,:鼓掌:
👏🏻,:clapping_hands_light_skin_tone:,clapping hands light skin tone,拍手 淺膚色,:鼓掌_较浅肤色:
🏛️,:classical_building:,classical building,古典建築,:古典建筑:
🍻,:clinking_beer_mugs:,clinking beer mugs,叮噹響的啤酒杯,:干杯:
🥂,:clinking_glasses:,clinking glasses,碰杯,:碰杯:
🌂,:closed_umbrella:,closed umbrella,閉合的傘,:收起的伞:
☁️,:cloud:,cloud,雲,:云:
☁,:cloud:,cloud,雲,:云:
⛈,:cloud_with_lightning_and_rain:,cloud with lightning and rain,雲與閃電和雨,:雷阵雨:
🌧️,:cloud_with_rain:,cloud with rain,云有雨,:下雨:
🌧,:cloud_with_rain:,cloud with rain,云有雨,:下雨:
🌨,:cloud_with_snow:,cloud with snow,有雪的雲,:下雪:
🤡,:clown_face:,clown face,小丑臉,:小丑脸:
🧥,:coat:,coat,外套,:外套:
🍸,:cocktail_glass:,cocktail glass,雞尾酒杯,:鸡尾酒:
⚰️,:coffin:,coffin,棺材,:棺材:
🥶,:cold_face:,cold face,冷臉,:冷脸:
💥,:collision:,collision,碰撞,:爆炸:
☄️,:comet:,comet,彗星,:彗星:
☄,:comet:,comet,彗星,:彗星:
🎊,:confetti_ball:,confetti ball,五彩紙屑球,:五彩纸屑球:
😖,:confounded_face:,confounded face,困惑的臉,:困惑:
😕,:confused_face:,confused face,困惑的臉,:困扰:
👷,:construction_worker:,construction worker,建築工人,:建筑工人:
🍚,:cooked_rice:,cooked rice,熟米飯,:米饭:
🍪,:cookie:,cookie,曲奇餅,:饼干:
🍳,:cooking:,cooking,烹飪,:煎蛋:
©️,:copyright:,copyright,版權,:版权:
©,:copyright:,copyright,版權,:版权:
🛋️,:couch_and_lamp:,couch and lamp,沙發和燈,:沙发和灯:
🔄,:counterclockwise_arrows_button:,counterclockwise arrows button,逆時針箭頭按鈕,:逆时针箭头按钮:
💑,:couple_with_heart:,couple with heart,夫婦與心,:情侣:
👩‍❤️‍👨,:couple_with_heart_woman_man:,couple with heart woman man,夫婦與心臟女人男人,:情侣_女人男人:
👩🏻‍❤️‍👨🏻,:couple_with_heart_woman_man_light_skin_tone:,couple with heart woman man light skin tone,夫妻心女男淺膚色,:情侣_女人男人较浅肤色:
👩‍❤️‍👩,:couple_with_heart_woman_woman:,couple with heart woman woman,夫婦與心臟女人女人,:情侣_女人女人:
🐄,:cow:,cow,奶牛,:奶牛:
🐮,:cow_face:,cow face,牛臉,:奶牛头:
🤠,:cowboy_hat_face:,cowboy hat face,牛仔帽臉,:牛仔帽脸:
🦀,:crab:,crab,螃蟹,:蟹:
🖍,:crayon:,crayon,蠟筆,:蜡笔:
🌙,:crescent_moon:,crescent moon,新月,:弯月:
🐊,:crocodile:,crocodile,鱷魚,:鳄鱼:
🥐,:croissant:,croissant,羊角麵包,:羊角面包:
❌,:cross_mark:,cross mark,十字標記,:叉号:
❎,:cross_mark_button:,cross mark button,十字標記按鈕,:叉号按钮:
🤞,:crossed_fingers:,crossed fingers,交叉手指,:交叉的手指:
⚔️,:crossed_swords:,crossed swords,十字劍,:交叉放置的剑:
⚔,:crossed_swords:,crossed swords,十字劍,:交叉放置的剑:
👑,:crown:,crown,王冠,:皇冠:
😿,:crying_cat:,crying cat,哭泣的貓,:哭泣的猫:
😢,:crying_face:,crying face,哭臉,:哭:
🔮,:crystal_ball:,crystal ball,水晶球,:水晶球:
🥒,:cucumber:,cucumber,黃瓜,:黄瓜:
🥤,:cup_with_straw:,cup with straw,帶吸管的杯子,:带吸管杯:
🧁,:cupcake:,cupcake,紙杯蛋糕,:纸杯蛋糕:
➰,:curly_loop:,curly loop,捲曲循環,:卷曲环:
🍛,:curry_rice:,curry rice,咖哩飯,:咖喱饭:
🍮,:custard:,custard,卡仕達醬,:奶黄:
🥩,:cut_of_meat:,cut of meat,切肉,:肉块:
🗡,:dagger:,dagger,匕首,:匕首:
🍡,:dango:,dango,團子,:团子:
💨,:dashing_away:,dashing away,飛奔而去,:尾气:
🧏‍♂️,:deaf_man:,deaf man,聾人,:失聪的男人:
🧏🏻‍♂️,:deaf_man_light_skin_tone:,deaf man light skin tone,聾人淺膚色,:失聪的男人_较浅肤色:
🧏‍♀️,:deaf_woman:,deaf woman,聾女人,:失聪的女人:
🧏🏻‍♀️,:deaf_woman_light_skin_tone:,deaf woman light skin tone,聾啞女人淺膚色,:失聪的女人_较浅肤色:
🌳,:deciduous_tree:,deciduous tree,落葉喬木,:落叶树:
🦌,:deer:,deer,鹿,:鹿:
🚚,:delivery_truck:,delivery truck,送貨卡車,:货车:
🏬,:department_store:,department store,百貨商店,:商场:
🏝️,:desert_island:,desert island,沙漠荒島,:无人荒岛:
🏝,:desert_island:,desert island,沙漠荒島,:无人荒岛:
🖥,:desktop_computer:,desktop computer,台式電腦,:台式电脑:
♦,:diamond_suit:,diamond suit,鑽石套裝,:方片:
🔅,:dim_button:,dim button,暗按鈕,:低亮度按钮:
😞,:disappointed_face:,disappointed face,失望的臉,:失望:
🥸,:disguised_face:,disguised face,偽裝的臉,:伪装的脸:
➗,:divide:,divide,劃分,:除:
🤿,:diving_mask:,diving mask,潛水面具,:潜水面罩:
🪔,:diya_lamp:,diya lamp,地亞燈,:印度油灯:
💫,:dizzy:,dizzy,暈眩的,:头晕:
🐕,:dog:,dog,狗,:狗:
🐶,:dog_face:,dog face,狗臉,:狗脸:
🐬,:dolphin:,dolphin,海豚,:海豚:
🚪,:door:,door,門,:门:
🔯,:dotted_six-pointed_star:,dotted six-pointed star,點狀六角星,:带中间点的六芒星:
‼️,:double_exclamation_mark:,double exclamation mark,雙感嘆號,:双感叹号:
‼,:double_exclamation_mark:,double exclamation mark,雙感嘆號,:双感叹号:
🍩,:doughnut:,doughnut,油炸圈餅,:甜甜圈:
🕊,:dove:,dove,鴿子,:鸽:
⬇️,:down_arrow:,down arrow,向下箭頭,:向下箭头:
😓,:downcast_face_with_sweat:,downcast face with sweat,垂頭喪氣的臉,:汗:
🔽,:downwards_button:,downwards button,向下按鈕,:向下三角形按钮:
🐉,:dragon:,dragon,龍,:龙:
🐲,:dragon_face:,dragon face,龍臉,:龙头:
👗,:dress:,dress,裙子,:连衣裙:
🤤,:drooling_face:,drooling face,流口水的臉,:流口水:
🩸,:drop_of_blood:,drop of blood,一滴血,:血滴:
💧,:droplet:,droplet,水滴,:水滴:
🥁,:drum:,drum,鼓,:鼓:
🦆,:duck:,duck,鴨子,:鸭子:
🥟,:dumpling:,dumpling,餃子,:饺子:
🦅,:eagle:,eagle,鷹,:鹰:
👂,:ear:,ear,耳朵,:耳朵:
🥚,:egg:,egg,蛋,:蛋:
🐘,:elephant:,elephant,大象,:大象:
😡,:enraged_face:,enraged face,憤怒的臉,:怒火中烧:
✉️,:envelope:,envelope,信封,:信封:
📩,:envelope_with_arrow:,envelope with arrow,帶箭頭的信封,:收邮件:
🌲,:evergreen_tree:,evergreen tree,常青樹,:松树:
🐑,:ewe:,ewe,母羊,:母羊:
⁉️,:exclamation_question_mark:,exclamation question mark,感嘆問號,:感叹疑问号:
🤯,:exploding_head:,exploding head,爆炸頭,:爆炸头:
😑,:expressionless_face:,expressionless face,面無表情,:无语:
👁️,:eye:,eye,眼睛,:眼睛:
👁,:eye:,eye,眼睛,:眼睛:
👀,:eyes:,eyes,眼睛,:双眼:
😘,:face_blowing_a_kiss:,face blowing a kiss,飛吻,:飞吻:
😮‍💨,:face_exhaling:,face exhaling,臉呼氣,:呼气:
🥹,:face_holding_back_tears:,face holding back tears,強忍淚水的臉,:忍住泪水:
😶‍🌫️,:face_in_clouds:,face in clouds,面對雲,:迷茫:
😋,:face_savoring_food:,face savoring food,面對美食,:好吃:
😱,:face_screaming_in_fear:,face screaming in fear,嚇得尖叫的臉,:吓死了:
🤮,:face_vomiting:,face vomiting,臉嘔吐,:呕吐:
😵,:face_with_crossed-out_eyes:,face with crossed-out eyes,眼睛打叉的臉,:晕头转向:
🤭,:face_with_hand_over_mouth:,face with hand over mouth,手摀臉,:不说:
🤕,:face_with_head-bandage:,face with head-bandage,頭帶繃帶的臉,:受伤:
😷,:face_with_medical_mask:,face with medical mask,戴著醫用口罩的臉,:感冒:
🧐,:face_with_monocle:,face with monocle,面對單片眼鏡,:带单片眼镜的脸:
🫢,:face_with_open_eyes_and_hand_over_mouth:,face with open eyes and hand over mouth,睜開眼睛，用手摀住嘴巴,:睁眼捂嘴:
😮,:face_with_open_mouth:,face with open mouth,張開嘴巴面對,:吃惊:
🫣,:face_with_peeking_eye:,face with peeking eye,偷看的臉,:偷看:
🤨,:face_with_raised_eyebrow:,face with raised eyebrow,揚眉的臉,:挑眉:
🙄,:face_with_rolling_eyes:,face with rolling eyes,翻白眼,:翻白眼:
😵‍💫,:face_with_spiral_eyes:,face with spiral eyes,長著螺旋眼睛的臉,:晕:
😤,:face_with_steam_from_nose:,face with steam from nose,臉上有蒸汽從鼻子裡冒出來,:傲慢:
🤬,:face_with_symbols_on_mouth:,face with symbols on mouth,嘴上有符號的臉,:嘴上有符号的脸:
😂,:face_with_tears_of_joy:,face with tears of joy,滿臉喜悅的淚水,:笑哭了:
🤒,:face_with_thermometer:,face with thermometer,面對溫度計,:发烧:
😛,:face_with_tongue:,face with tongue,用舌頭面對,:吐舌:
😶,:face_without_mouth:,face without mouth,沒有嘴巴的臉,:沉默:
🧚,:fairy:,fairy,仙女,:精灵:
🧚🏻,:fairy_light_skin_tone:,fairy light skin tone,仙女般的淺膚色,:精灵_较浅肤色:
🧆,:falafel:,falafel,沙拉三明治,:炸豆丸子:
🍂,:fallen_leaf:,fallen leaf,落葉,:落叶:
👨‍👧,:family_man_girl:,family man girl,家庭男人女孩,:家庭_男人女孩:
👨‍👩‍👦,:family_man_woman_boy:,family man woman boy,家庭男人女人男孩,:家庭_男人女人男孩:
👨‍👩‍👦‍👦,:family_man_woman_boy_boy:,family man woman boy boy,家庭男人女人男孩男孩,:家庭_男人女人男孩男孩:
👨‍👩‍👧,:family_man_woman_girl:,family man woman girl,家庭男人女人女孩,:家庭_男人女人女孩:
👨‍👩‍👧‍👦,:family_man_woman_girl_boy:,family man woman girl boy,家庭男人女人女孩男孩,:家庭_男人女人女孩男孩:
👨‍👩‍👧‍👧,:family_man_woman_girl_girl:,family man woman girl girl,家庭男人女人女孩女孩,:家庭_男人女人女孩女孩:
⏩,:fast-forward_button:,fast-forward button,快進按鈕,:快进按钮:
⏬,:fast_down_button:,fast down button,快速下降按鈕,:快速下降按钮:
😨,:fearful_face:,fearful face,恐懼的臉,:害怕:
🪶,:feather:,feather,羽毛,:羽毛:
🎡,:ferris_wheel:,ferris wheel,摩天輪,:摩天轮:
🎞,:film_frames:,film frames,電影幀,:影片帧:
📽,:film_projector:,film projector,放映機,:电影放映机:
🔥,:fire:,fire,火,:火焰:
🚒,:fire_engine:,fire engine,消防車,:消防车:
🧯,:fire_extinguisher:,fire extinguisher,滅火器,:灭火器:
🧨,:firecracker:,firecracker,鞭炮,:爆竹:
🎆,:fireworks:,fireworks,煙花,:焰火:
🌛,:first_quarter_moon_face:,first quarter moon face,上弦月臉,:微笑的上弦月:
🐟,:fish:,fish,魚,:鱼:
🍥,:fish_cake_with_swirl:,fish cake with swirl,帶漩渦的魚糕,:鱼板:
🎣,:fishing_pole:,fishing pole,釣魚竿,:钓鱼竿:
🕔,:five_o’clock:,five o’clock,五點鐘,:五点:
⛳,:flag_in_hole:,flag in hole,洞中的旗幟,:高尔夫球洞:
💪,:flexed_biceps:,flexed biceps,彎曲的二頭肌,:肌肉:
💪🏻,:flexed_biceps_light_skin_tone:,flexed biceps light skin tone,彎曲的二頭肌淺膚色,:肌肉_较浅肤色:
💪🏼,:flexed_biceps_medium-light_skin_tone:,flexed biceps medium-light skin tone,彎曲的二頭肌中淺膚色,:肌肉_中等浅肤色:
💪🏽,:flexed_biceps_medium_skin_tone:,flexed biceps medium skin tone,彎曲的二頭肌中等膚色,:肌肉_中等肤色:
😳,:flushed_face:,flushed face,臉紅了,:脸红:
🥏,:flying_disc:,flying disc,飛盤,:飞盘:
🛸,:flying_saucer:,flying saucer,飛碟,:飞碟:
🌫,:fog:,fog,多霧路段,:雾:
🌁,:foggy:,foggy,有霧,:有雾:
🙏,:folded_hands:,folded hands,雙手合十,:双手合十:
🙏🏻,:folded_hands_light_skin_tone:,folded hands light skin tone,雙手合十 淺膚色,:双手合十_较浅肤色:
🙏🏾,:folded_hands_medium-dark_skin_tone:,folded hands medium-dark skin tone,雙手合十-中深膚色,:双手合十_中等深肤色:
🙏🏼,:folded_hands_medium-light_skin_tone:,folded hands medium-light skin tone,雙手合十 中淺膚色,:双手合十_中等浅肤色:
🙏🏽,:folded_hands_medium_skin_tone:,folded hands medium skin tone,雙手合十 中等膚色,:双手合十_中等肤色:
🦶,:foot:,foot,腳,:脚:
👣,:footprints:,footprints,腳印,:脚印:
